,Unnamed: 0,close,date,high,low,open,volume
312,312.0,704.4,2021-06-30 10:15:00+05:30,706.55,704.05,705.5,171746.0
313,313.0,707.7,2021-06-30 10:20:00+05:30,708.55,704.35,704.5,224664.0
314,314.0,709.1,2021-06-30 10:25:00+05:30,709.45,707.0,707.7,231269.0
315,315.0,708.75,2021-06-30 10:30:00+05:30,709.5,707.65,708.8,133749.0
316,316.0,708.3,2021-06-30 10:35:00+05:30,709.85,707.8,709.0,119094.0
317,317.0,708.2,2021-06-30 10:40:00+05:30,708.45,707.6,708.3,56132.0
318,318.0,708.25,2021-06-30 10:45:00+05:30,709.5,707.95,708.2,80892.0
319,319.0,707.85,2021-06-30 10:50:00+05:30,708.65,707.8,708.2,37593.0
320,320.0,708.3,2021-06-30 10:55:00+05:30,708.5,707.25,707.9,63426.0
384,384.0,705.5,2021-07-01 10:00:00+05:30,706.6,705.2,706.2,100222.0
385,385.0,705.6,2021-07-01 10:05:00+05:30,706.0,704.1,705.5,136800.0
386,386.0,704.8,2021-07-01 10:10:00+05:30,705.75,704.5,705.75,68324.0
387,387.0,704.75,2021-07-01 10:15:00+05:30,705.5,704.2,704.8,63088.0
388,388.0,706.2,2021-07-01 10:20:00+05:30,706.7,704.6,704.6,64485.0
389,389.0,705.0,2021-07-01 10:25:00+05:30,706.5,704.8,706.2,67333.0
390,390.0,704.15,2021-07-01 10:30:00+05:30,705.15,703.5,705.15,136685.0
391,391.0,703.25,2021-07-01 10:35:00+05:30,704.7,703.0,704.15,159681.0
392,392.0,703.45,2021-07-01 10:40:00+05:30,704.4,702.0,703.75,188095.0
393,393.0,704.0,2021-07-01 10:45:00+05:30,704.4,702.5,703.1,111375.0
394,394.0,702.7,2021-07-01 10:50:00+05:30,704.0,702.45,704.0,94274.0
395,395.0,704.25,2021-07-01 10:55:00+05:30,705.3,702.6,702.6,130982.0
459,459.0,714.6,2021-07-02 10:00:00+05:30,716.6,713.85,716.6,326413.0
460,460.0,715.0,2021-07-02 10:05:00+05:30,716.6,713.1,714.5,342906.0
461,461.0,714.3,2021-07-02 10:10:00+05:30,716.0,714.05,714.75,138840.0
462,462.0,714.0,2021-07-02 10:15:00+05:30,714.9,713.5,714.55,143010.0
463,463.0,712.75,2021-07-02 10:20:00+05:30,714.0,712.15,714.0,217065.0
464,464.0,715.75,2021-07-02 10:25:00+05:30,715.8,712.45,712.5,177038.0
465,465.0,716.0,2021-07-02 10:30:00+05:30,717.4,715.8,715.8,272621.0
466,466.0,715.8,2021-07-02 10:35:00+05:30,716.7,715.5,716.3,105420.0
467,467.0,714.0,2021-07-02 10:40:00+05:30,716.15,713.7,715.8,128453.0
468,468.0,714.0,2021-07-02 10:45:00+05:30,714.5,713.05,713.75,110213.0
469,469.0,713.75,2021-07-02 10:50:00+05:30,714.6,713.75,714.2,81959.0
470,470.0,714.9,2021-07-02 10:55:00+05:30,715.0,713.25,713.8,93549.0
534,534.0,713.5,2021-07-05 10:00:00+05:30,714.3,713.0,713.95,69488.0
535,535.0,714.0,2021-07-05 10:05:00+05:30,714.3,713.2,713.5,68590.0
536,536.0,714.25,2021-07-05 10:10:00+05:30,714.5,713.5,714.0,55283.0
537,537.0,713.3,2021-07-05 10:15:00+05:30,714.85,713.0,714.05,64725.0
538,538.0,712.3,2021-07-05 10:20:00+05:30,713.3,712.0,713.3,159048.0
539,539.0,716.45,2021-07-05 10:25:00+05:30,716.7,712.05,712.5,244762.0
540,540.0,715.3,2021-07-05 10:30:00+05:30,716.45,714.4,716.1,101254.0
541,541.0,713.8,2021-07-05 10:35:00+05:30,715.9,713.5,715.5,88659.0
542,542.0,712.8,2021-07-05 10:40:00+05:30,714.25,712.55,713.55,117715.0
543,543.0,713.1,2021-07-05 10:45:00+05:30,713.45,712.7,713.0,41314.0
544,544.0,712.9,2021-07-05 10:50:00+05:30,713.3,712.5,713.15,57228.0
545,545.0,712.9,2021-07-05 10:55:00+05:30,713.9,712.6,713.0,44161.0
609,609.0,725.35,2021-07-06 10:00:00+05:30,726.65,722.35,724.9,501007.0
610,610.0,725.6,2021-07-06 10:05:00+05:30,728.5,725.3,725.4,387939.0
611,611.0,723.9,2021-07-06 10:10:00+05:30,726.0,723.0,725.8,237582.0
612,612.0,727.1,2021-07-06 10:15:00+05:30,727.4,723.4,723.9,211291.0
613,613.0,725.95,2021-07-06 10:20:00+05:30,728.5,725.45,727.0,335725.0
614,614.0,725.25,2021-07-06 10:25:00+05:30,726.25,724.75,725.75,147016.0
615,615.0,726.05,2021-07-06 10:30:00+05:30,726.2,723.6,725.3,163399.0
616,616.0,724.55,2021-07-06 10:35:00+05:30,726.2,724.2,725.75,60982.0
617,617.0,725.55,2021-07-06 10:40:00+05:30,725.95,724.0,724.55,90949.0
618,618.0,727.0,2021-07-06 10:45:00+05:30,727.5,724.7,725.2,212341.0
619,619.0,726.65,2021-07-06 10:50:00+05:30,727.35,725.85,727.2,169412.0
620,620.0,727.0,2021-07-06 10:55:00+05:30,728.0,726.1,726.65,174095.0
684,684.0,711.5,2021-07-07 10:00:00+05:30,712.5,710.25,712.0,108304.0
685,685.0,712.0,2021-07-07 10:05:00+05:30,712.25,711.5,711.7,46823.0
686,686.0,712.7,2021-07-07 10:10:00+05:30,713.65,711.75,712.0,134405.0
687,687.0,712.65,2021-07-07 10:15:00+05:30,713.55,712.3,712.5,91019.0
688,688.0,713.15,2021-07-07 10:20:00+05:30,713.35,712.5,712.65,41998.0
689,689.0,712.9,2021-07-07 10:25:00+05:30,713.55,712.55,713.15,52231.0
690,690.0,710.5,2021-07-07 10:30:00+05:30,712.8,710.0,712.8,102789.0
691,691.0,710.3,2021-07-07 10:35:00+05:30,711.85,710.0,710.45,72333.0
692,692.0,710.45,2021-07-07 10:40:00+05:30,710.95,710.0,710.0,50954.0
693,693.0,710.5,2021-07-07 10:45:00+05:30,710.95,710.1,710.8,29413.0
694,694.0,711.0,2021-07-07 10:50:00+05:30,711.15,710.0,710.7,48412.0
695,695.0,710.0,2021-07-07 10:55:00+05:30,711.0,708.7,711.0,91818.0
759,759.0,724.35,2021-07-08 10:00:00+05:30,724.95,722.1,722.3,169781.0
760,760.0,723.8,2021-07-08 10:05:00+05:30,724.35,723.25,724.35,56541.0
761,761.0,723.55,2021-07-08 10:10:00+05:30,724.2,723.3,724.0,58910.0
762,762.0,722.4,2021-07-08 10:15:00+05:30,723.8,722.0,723.55,66868.0
763,763.0,722.1,2021-07-08 10:20:00+05:30,722.5,722.05,722.5,39968.0
764,764.0,721.95,2021-07-08 10:25:00+05:30,722.75,721.6,722.0,61498.0
765,765.0,723.2,2021-07-08 10:30:00+05:30,723.4,721.9,721.9,36990.0
766,766.0,722.95,2021-07-08 10:35:00+05:30,723.65,722.45,723.2,50589.0
767,767.0,724.9,2021-07-08 10:40:00+05:30,725.4,722.95,722.95,154410.0
768,768.0,725.75,2021-07-08 10:45:00+05:30,725.75,724.0,724.9,141537.0
769,769.0,724.85,2021-07-08 10:50:00+05:30,726.95,724.5,725.8,145707.0
770,770.0,724.5,2021-07-08 10:55:00+05:30,725.35,724.15,724.65,42997.0
834,834.0,714.05,2021-07-09 10:00:00+05:30,714.65,713.65,713.95,71208.0
835,835.0,717.55,2021-07-09 10:05:00+05:30,718.0,714.05,714.05,161164.0
836,836.0,719.3,2021-07-09 10:10:00+05:30,719.45,716.35,717.5,261982.0
837,837.0,719.7,2021-07-09 10:15:00+05:30,719.95,718.0,719.15,183115.0
838,838.0,720.65,2021-07-09 10:20:00+05:30,721.45,719.0,719.95,264922.0
839,839.0,718.5,2021-07-09 10:25:00+05:30,721.7,718.5,720.6,160175.0
840,840.0,718.5,2021-07-09 10:30:00+05:30,719.9,718.0,718.7,112724.0
841,841.0,719.25,2021-07-09 10:35:00+05:30,719.5,718.05,718.3,83934.0
842,842.0,719.45,2021-07-09 10:40:00+05:30,720.5,718.9,719.3,98156.0
843,843.0,720.1,2021-07-09 10:45:00+05:30,720.95,719.45,719.45,96339.0
844,844.0,722.3,2021-07-09 10:50:00+05:30,722.7,720.1,720.3,240090.0
845,845.0,719.5,2021-07-09 10:55:00+05:30,722.95,719.25,722.3,161286.0
909,909.0,726.8,2021-07-12 10:00:00+05:30,728.9,726.0,728.25,220997.0
910,910.0,727.35,2021-07-12 10:05:00+05:30,728.0,726.55,726.8,100642.0
911,911.0,726.2,2021-07-12 10:10:00+05:30,727.5,725.2,727.1,117624.0
912,912.0,727.7,2021-07-12 10:15:00+05:30,727.9,726.0,726.2,93003.0
913,913.0,728.9,2021-07-12 10:20:00+05:30,728.95,727.65,727.7,90174.0
914,914.0,730.3,2021-07-12 10:25:00+05:30,730.7,728.2,728.9,159586.0
915,915.0,730.35,2021-07-12 10:30:00+05:30,731.45,730.0,730.3,158905.0
916,916.0,728.9,2021-07-12 10:35:00+05:30,730.5,728.55,730.4,88789.0
917,917.0,728.75,2021-07-12 10:40:00+05:30,730.4,728.6,729.0,59052.0
918,918.0,728.0,2021-07-12 10:45:00+05:30,728.95,727.7,728.8,73553.0
919,919.0,727.8,2021-07-12 10:50:00+05:30,728.3,727.2,728.0,46262.0
920,920.0,728.7,2021-07-12 10:55:00+05:30,728.8,727.65,727.7,26264.0
984,984.0,708.85,2021-07-13 10:00:00+05:30,708.9,707.5,708.1,125301.0
985,985.0,707.1,2021-07-13 10:05:00+05:30,708.85,707.05,708.7,123181.0
986,986.0,707.75,2021-07-13 10:10:00+05:30,708.4,707.1,707.1,107616.0
987,987.0,706.1,2021-07-13 10:15:00+05:30,707.8,705.0,707.75,403842.0
988,988.0,705.4,2021-07-13 10:20:00+05:30,706.35,705.4,706.2,152878.0
989,989.0,703.0,2021-07-13 10:25:00+05:30,705.85,702.0,705.45,660959.0
990,990.0,705.3,2021-07-13 10:30:00+05:30,705.3,703.0,703.25,223058.0
991,991.0,705.05,2021-07-13 10:35:00+05:30,706.5,704.5,705.3,174709.0
992,992.0,704.1,2021-07-13 10:40:00+05:30,705.3,703.5,705.3,134630.0
993,993.0,704.6,2021-07-13 10:45:00+05:30,705.25,704.2,704.4,80261.0
994,994.0,705.15,2021-07-13 10:50:00+05:30,705.7,704.5,704.6,87723.0
995,995.0,705.1,2021-07-13 10:55:00+05:30,705.25,704.0,705.0,92973.0
1059,1059.0,701.25,2021-07-14 10:00:00+05:30,701.6,699.0,700.8,460248.0
1060,1060.0,701.95,2021-07-14 10:05:00+05:30,702.0,701.0,701.25,111359.0
1061,1061.0,701.6,2021-07-14 10:10:00+05:30,702.4,701.3,702.0,102851.0
1062,1062.0,702.75,2021-07-14 10:15:00+05:30,702.85,701.4,701.6,71177.0
1063,1063.0,702.4,2021-07-14 10:20:00+05:30,702.8,701.25,702.75,88739.0
1064,1064.0,704.65,2021-07-14 10:25:00+05:30,705.7,702.35,702.4,402993.0
1065,1065.0,705.0,2021-07-14 10:30:00+05:30,705.0,703.8,704.55,133262.0
1066,1066.0,704.35,2021-07-14 10:35:00+05:30,705.0,703.95,704.7,70971.0
1067,1067.0,704.5,2021-07-14 10:40:00+05:30,704.5,703.5,704.35,73253.0
1068,1068.0,704.9,2021-07-14 10:45:00+05:30,705.5,704.4,704.45,138744.0
1069,1069.0,703.95,2021-07-14 10:50:00+05:30,705.35,703.7,704.9,96038.0
1070,1070.0,703.5,2021-07-14 10:55:00+05:30,704.0,702.7,703.95,104904.0
1134,1134.0,699.75,2021-07-15 10:00:00+05:30,701.0,699.5,700.85,114895.0
1135,1135.0,700.95,2021-07-15 10:05:00+05:30,701.0,699.5,699.75,55436.0
1136,1136.0,699.55,2021-07-15 10:10:00+05:30,701.0,699.55,700.95,72324.0
1137,1137.0,699.3,2021-07-15 10:15:00+05:30,699.95,698.5,699.55,94703.0
1138,1138.0,698.75,2021-07-15 10:20:00+05:30,699.5,698.2,699.2,61585.0
1139,1139.0,698.45,2021-07-15 10:25:00+05:30,699.35,698.35,698.7,59399.0
1140,1140.0,696.65,2021-07-15 10:30:00+05:30,698.45,696.5,698.45,165451.0
1141,1141.0,697.5,2021-07-15 10:35:00+05:30,697.85,695.6,696.65,159499.0
1142,1142.0,698.25,2021-07-15 10:40:00+05:30,698.25,696.8,697.5,77533.0
1143,1143.0,697.25,2021-07-15 10:45:00+05:30,698.85,697.0,698.25,57942.0
1144,1144.0,697.7,2021-07-15 10:50:00+05:30,698.3,696.55,697.25,45101.0
1145,1145.0,696.6,2021-07-15 10:55:00+05:30,698.25,696.6,697.7,44065.0
1209,1209.0,696.85,2021-07-16 10:00:00+05:30,698.0,696.6,697.85,80624.0
1210,1210.0,696.95,2021-07-16 10:05:00+05:30,697.65,696.6,696.85,46513.0
1211,1211.0,696.1,2021-07-16 10:10:00+05:30,697.0,696.0,696.95,108444.0
1212,1212.0,694.4,2021-07-16 10:15:00+05:30,696.5,694.4,696.1,112515.0
