,id,sensor_name,status,time
3939,839,Sensor3ee283,1, 2022-05-19  11:30:08 
4012,839,Sensor3ee283,1, 2022-05-19  11:30:18 
4085,839,Sensor3ee283,1, 2022-05-19  11:30:29 
4158,839,Sensor3ee283,1, 2022-05-19  11:30:39 
4230,839,Sensor3ee283,1, 2022-05-19  11:30:50 
4303,839,Sensor3ee283,1, 2022-05-19  11:31:00 
4376,839,Sensor3ee283,1, 2022-05-19  11:31:11 
4450,839,Sensor3ee283,1, 2022-05-19  11:31:21 
4523,839,Sensor3ee283,1, 2022-05-19  11:31:32 
4596,839,Sensor3ee283,1, 2022-05-19  11:31:42 
4668,839,Sensor3ee283,1, 2022-05-19  11:31:53 
4740,839,Sensor3ee283,1, 2022-05-19  11:32:03 
4813,839,Sensor3ee283,1, 2022-05-19  11:32:14 
4885,839,Sensor3ee283,1, 2022-05-19  11:32:24 
4957,839,Sensor3ee283,1, 2022-05-19  11:32:35 
5028,839,Sensor3ee283,1, 2022-05-19  11:32:45 
5098,839,Sensor3ee283,1, 2022-05-19  11:32:56 
5166,839,Sensor3ee283,1, 2022-05-19  11:33:06 
5236,839,Sensor3ee283,1, 2022-05-19  11:33:17 
5307,839,Sensor3ee283,1, 2022-05-19  11:33:27 
5379,839,Sensor3ee283,1, 2022-05-19  11:33:37 
5449,839,Sensor3ee283,1, 2022-05-19  11:33:48 
5517,839,Sensor3ee283,1, 2022-05-19  11:33:58 
5584,839,Sensor3ee283,1, 2022-05-19  11:34:09 
5654,839,Sensor3ee283,1, 2022-05-19  11:34:19 
5725,839,Sensor3ee283,1, 2022-05-19  11:34:30 
5793,839,Sensor3ee283,1, 2022-05-19  11:34:40 
5861,839,Sensor3ee283,1, 2022-05-19  11:34:51 
5929,839,Sensor3ee283,1, 2022-05-19  11:35:01 
5997,839,Sensor3ee283,1, 2022-05-19  11:35:12 
6065,839,Sensor3ee283,1, 2022-05-19  11:35:22 
6132,839,Sensor3ee283,1, 2022-05-19  11:35:33 
6196,839,Sensor3ee283,1, 2022-05-19  11:35:43 
6259,839,Sensor3ee283,1, 2022-05-19  11:35:54 
6325,839,Sensor3ee283,1, 2022-05-19  11:36:04 
6393,839,Sensor3ee283,1, 2022-05-19  11:36:15 
6462,839,Sensor3ee283,1, 2022-05-19  11:36:25 
6530,839,Sensor3ee283,1, 2022-05-19  11:36:36 
6600,839,Sensor3ee283,1, 2022-05-19  11:36:46 
6670,839,Sensor3ee283,1, 2022-05-19  11:36:57 
6741,839,Sensor3ee283,1, 2022-05-19  11:37:07 
6811,839,Sensor3ee283,1, 2022-05-19  11:37:18 
6879,839,Sensor3ee283,1, 2022-05-19  11:37:28 
