,id,sensor_name,status,time
4431,1083,Sensor3ee9e9,-1, 2022-05-19  11:31:11 
4506,1083,Sensor3ee9e9,-1, 2022-05-19  11:31:21 
4579,1083,Sensor3ee9e9,-1, 2022-05-19  11:31:32 
4651,1083,Sensor3ee9e9,-1, 2022-05-19  11:31:42 
4723,1083,Sensor3ee9e9,-1, 2022-05-19  11:31:53 
4796,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:03 
4868,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:14 
4941,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:24 
5012,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:35 
5083,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:45 
5151,1083,Sensor3ee9e9,-1, 2022-05-19  11:32:56 
5219,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:06 
5289,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:17 
5361,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:27 
5433,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:37 
5502,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:48 
5569,1083,Sensor3ee9e9,-1, 2022-05-19  11:33:58 
5638,1083,Sensor3ee9e9,-1, 2022-05-19  11:34:09 
5709,1083,Sensor3ee9e9,-1, 2022-05-19  11:34:19 
5778,1083,Sensor3ee9e9,-1, 2022-05-19  11:34:30 
5846,1083,Sensor3ee9e9,-1, 2022-05-19  11:34:40 
5914,1083,Sensor3ee9e9,-1, 2022-05-19  11:34:51 
5982,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:01 
6050,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:12 
6118,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:22 
6183,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:33 
6246,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:43 
6311,1083,Sensor3ee9e9,-1, 2022-05-19  11:35:54 
6379,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:04 
6448,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:15 
6516,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:25 
6584,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:36 
6654,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:46 
6725,1083,Sensor3ee9e9,-1, 2022-05-19  11:36:57 
6796,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:07 
6864,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:18 
6931,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:28 
6998,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:39 
7068,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:49 
7138,1083,Sensor3ee9e9,-1, 2022-05-19  11:37:59 
7209,1083,Sensor3ee9e9,-1, 2022-05-19  11:38:10 
7280,1083,Sensor3ee9e9,-1, 2022-05-19  11:38:21 
7348,1083,Sensor3ee9e9,-1, 2022-05-19  11:38:31 
7416,1083,Sensor3ee9e9,-1, 2022-05-19  11:38:41 
7485,1083,Sensor3ee9e9,-1, 2022-05-19  11:38:52 
7555,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:02 
7626,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:13 
7697,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:24 
7768,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:34 
7839,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:45 
7910,1083,Sensor3ee9e9,-1, 2022-05-19  11:39:55 
7981,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:06 
8053,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:16 
8125,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:27 
8196,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:37 
8265,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:48 
8334,1083,Sensor3ee9e9,-1, 2022-05-19  11:40:58 
8404,1083,Sensor3ee9e9,-1, 2022-05-19  11:41:09 
8474,1083,Sensor3ee9e9,-1, 2022-05-19  11:41:19 
8547,1083,Sensor3ee9e9,-1, 2022-05-19  11:41:29 
8625,1083,Sensor3ee9e9,-1, 2022-05-19  11:41:40 
8705,1083,Sensor3ee9e9,-1, 2022-05-19  11:41:51 
8787,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:01 
8869,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:12 
8950,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:22 
9030,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:33 
9112,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:43 
9193,1083,Sensor3ee9e9,-1, 2022-05-19  11:42:54 
9271,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:04 
9347,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:15 
9423,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:25 
9500,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:35 
9579,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:46 
9659,1083,Sensor3ee9e9,-1, 2022-05-19  11:43:56 
9740,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:07 
9821,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:17 
9903,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:28 
9985,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:38 
10067,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:49 
10149,1083,Sensor3ee9e9,-1, 2022-05-19  11:44:59 
10231,1083,Sensor3ee9e9,-1, 2022-05-19  11:45:10 
10313,1083,Sensor3ee9e9,-1, 2022-05-19  11:45:20 
10395,1083,Sensor3ee9e9,-1, 2022-05-19  11:45:31 
10478,1083,Sensor3ee9e9,-1, 2022-05-19  11:45:41 
10561,1083,Sensor3ee9e9,-1, 2022-05-19  11:45:52 
10645,1083,Sensor3ee9e9,-1, 2022-05-19  11:46:02 
17735,1083,Sensor3ee9e9,-1, 2022-05-19  12:01:14 
17814,1083,Sensor3ee9e9,-1, 2022-05-19  12:01:24 
17893,1083,Sensor3ee9e9,-1, 2022-05-19  12:01:35 
17972,1083,Sensor3ee9e9,-1, 2022-05-19  12:01:45 
18050,1083,Sensor3ee9e9,-1, 2022-05-19  12:01:56 
18129,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:06 
18208,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:16 
18287,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:27 
18365,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:37 
18443,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:48 
18523,1083,Sensor3ee9e9,-1, 2022-05-19  12:02:58 
18605,1083,Sensor3ee9e9,-1, 2022-05-19  12:03:09 
18687,1083,Sensor3ee9e9,-1, 2022-05-19  12:03:19 
18768,1083,Sensor3ee9e9,-1, 2022-05-19  12:03:30 
18851,1083,Sensor3ee9e9,-1, 2022-05-19  12:03:40 
18934,1083,Sensor3ee9e9,-1, 2022-05-19  12:03:51 
19016,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:01 
19098,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:12 
19180,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:22 
19261,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:33 
19342,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:43 
19423,1083,Sensor3ee9e9,-1, 2022-05-19  12:04:54 
19504,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:04 
19585,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:15 
19667,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:25 
19750,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:36 
19833,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:46 
19916,1083,Sensor3ee9e9,-1, 2022-05-19  12:05:56 
19998,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:07 
20080,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:17 
20160,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:28 
20242,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:38 
20326,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:49 
20410,1083,Sensor3ee9e9,-1, 2022-05-19  12:06:59 
20495,1083,Sensor3ee9e9,-1, 2022-05-19  12:07:10 
20579,1083,Sensor3ee9e9,-1, 2022-05-19  12:07:20 
20662,1083,Sensor3ee9e9,-1, 2022-05-19  12:07:31 
