,epoch,status,utc,pst
79,1643782404000.0,0.0,2022-02-02 06:13:24,2022-02-01 16:43:24
80,1643782464000.0,0.0,2022-02-02 06:14:24,2022-02-01 16:44:24
81,1643782467000.0,0.0,2022-02-02 06:14:27,2022-02-01 16:44:27
82,1643782524000.0,0.0,2022-02-02 06:15:24,2022-02-01 16:45:24
83,1643782584000.0,0.0,2022-02-02 06:16:24,2022-02-01 16:46:24
84,1643782644000.0,0.0,2022-02-02 06:17:24,2022-02-01 16:47:24
85,1643782704000.0,0.0,2022-02-02 06:18:24,2022-02-01 16:48:24
86,1643782764000.0,0.0,2022-02-02 06:19:24,2022-02-01 16:49:24
87,1643782824000.0,0.0,2022-02-02 06:20:24,2022-02-01 16:50:24
88,1643782884000.0,0.0,2022-02-02 06:21:24,2022-02-01 16:51:24
89,1643782944000.0,0.0,2022-02-02 06:22:24,2022-02-01 16:52:24
90,1643783004000.0,0.0,2022-02-02 06:23:24,2022-02-01 16:53:24
91,1643783064000.0,0.0,2022-02-02 06:24:24,2022-02-01 16:54:24
92,1643783124000.0,0.0,2022-02-02 06:25:24,2022-02-01 16:55:24
93,1643783184000.0,0.0,2022-02-02 06:26:24,2022-02-01 16:56:24
94,1643783244000.0,0.0,2022-02-02 06:27:24,2022-02-01 16:57:24
95,1643783304000.0,0.0,2022-02-02 06:28:24,2022-02-01 16:58:24
96,1643783364000.0,0.0,2022-02-02 06:29:24,2022-02-01 16:59:24
97,1643783424000.0,0.0,2022-02-02 06:30:24,2022-02-01 17:00:24
98,1643783484000.0,0.0,2022-02-02 06:31:24,2022-02-01 17:01:24
99,1643783544000.0,0.0,2022-02-02 06:32:24,2022-02-01 17:02:24
100,1643783604000.0,0.0,2022-02-02 06:33:24,2022-02-01 17:03:24
101,1643783664000.0,0.0,2022-02-02 06:34:24,2022-02-01 17:04:24
102,1643783724000.0,0.0,2022-02-02 06:35:24,2022-02-01 17:05:24
103,1643783784000.0,0.0,2022-02-02 06:36:24,2022-02-01 17:06:24
104,1643783844000.0,0.0,2022-02-02 06:37:24,2022-02-01 17:07:24
105,1643783904000.0,0.0,2022-02-02 06:38:24,2022-02-01 17:08:24
106,1643783964000.0,0.0,2022-02-02 06:39:24,2022-02-01 17:09:24
107,1643784024000.0,0.0,2022-02-02 06:40:24,2022-02-01 17:10:24
108,1643784084000.0,0.0,2022-02-02 06:41:24,2022-02-01 17:11:24
109,1643784144000.0,0.0,2022-02-02 06:42:24,2022-02-01 17:12:24
110,1643784204000.0,0.0,2022-02-02 06:43:24,2022-02-01 17:13:24
111,1643784264000.0,0.0,2022-02-02 06:44:24,2022-02-01 17:14:24
112,1643784324000.0,0.0,2022-02-02 06:45:24,2022-02-01 17:15:24
113,1643784384000.0,0.0,2022-02-02 06:46:24,2022-02-01 17:16:24
114,1643784444000.0,0.0,2022-02-02 06:47:24,2022-02-01 17:17:24
115,1643784504000.0,0.0,2022-02-02 06:48:24,2022-02-01 17:18:24
116,1643784564000.0,0.0,2022-02-02 06:49:24,2022-02-01 17:19:24
117,1643784624000.0,0.0,2022-02-02 06:50:24,2022-02-01 17:20:24
118,1643784684000.0,0.0,2022-02-02 06:51:24,2022-02-01 17:21:24
119,1643784744000.0,0.0,2022-02-02 06:52:24,2022-02-01 17:22:24
120,1643784804000.0,0.0,2022-02-02 06:53:24,2022-02-01 17:23:24
121,1643784864000.0,0.0,2022-02-02 06:54:24,2022-02-01 17:24:24
122,1643784924000.0,0.0,2022-02-02 06:55:24,2022-02-01 17:25:24
123,1643784984000.0,0.0,2022-02-02 06:56:24,2022-02-01 17:26:24
124,1643785044000.0,0.0,2022-02-02 06:57:24,2022-02-01 17:27:24
125,1643785104000.0,0.0,2022-02-02 06:58:24,2022-02-01 17:28:24
126,1643785164000.0,0.0,2022-02-02 06:59:24,2022-02-01 17:29:24
127,1643785224000.0,0.0,2022-02-02 07:00:24,2022-02-01 17:30:24
128,1643785284000.0,0.0,2022-02-02 07:01:24,2022-02-01 17:31:24
129,1643785344000.0,0.0,2022-02-02 07:02:24,2022-02-01 17:32:24
130,1643785404000.0,0.0,2022-02-02 07:03:24,2022-02-01 17:33:24
131,1643785464000.0,0.0,2022-02-02 07:04:24,2022-02-01 17:34:24
132,1643785524000.0,0.0,2022-02-02 07:05:24,2022-02-01 17:35:24
133,1643785584000.0,0.0,2022-02-02 07:06:24,2022-02-01 17:36:24
134,1643785644000.0,0.0,2022-02-02 07:07:24,2022-02-01 17:37:24
135,1643785704000.0,0.0,2022-02-02 07:08:24,2022-02-01 17:38:24
136,1643785764000.0,0.0,2022-02-02 07:09:24,2022-02-01 17:39:24
137,1643785824000.0,0.0,2022-02-02 07:10:24,2022-02-01 17:40:24
138,1643785884000.0,0.0,2022-02-02 07:11:24,2022-02-01 17:41:24
139,1643785944000.0,0.0,2022-02-02 07:12:24,2022-02-01 17:42:24
140,1643786004000.0,0.0,2022-02-02 07:13:24,2022-02-01 17:43:24
141,1643786064000.0,0.0,2022-02-02 07:14:24,2022-02-01 17:44:24
142,1643786124000.0,0.0,2022-02-02 07:15:24,2022-02-01 17:45:24
143,1643786184000.0,0.0,2022-02-02 07:16:24,2022-02-01 17:46:24
144,1643786244000.0,0.0,2022-02-02 07:17:24,2022-02-01 17:47:24
145,1643786304000.0,0.0,2022-02-02 07:18:24,2022-02-01 17:48:24
146,1643786364000.0,0.0,2022-02-02 07:19:24,2022-02-01 17:49:24
147,1643786424000.0,0.0,2022-02-02 07:20:24,2022-02-01 17:50:24
148,1643786484000.0,0.0,2022-02-02 07:21:24,2022-02-01 17:51:24
149,1643786544000.0,0.0,2022-02-02 07:22:24,2022-02-01 17:52:24
150,1643786604000.0,0.0,2022-02-02 07:23:24,2022-02-01 17:53:24
151,1643786664000.0,0.0,2022-02-02 07:24:24,2022-02-01 17:54:24
152,1643786724000.0,0.0,2022-02-02 07:25:24,2022-02-01 17:55:24
153,1643786784000.0,0.0,2022-02-02 07:26:24,2022-02-01 17:56:24
154,1643786844000.0,0.0,2022-02-02 07:27:24,2022-02-01 17:57:24
155,1643786904000.0,0.0,2022-02-02 07:28:24,2022-02-01 17:58:24
156,1643786964000.0,0.0,2022-02-02 07:29:24,2022-02-01 17:59:24
157,1643787024000.0,0.0,2022-02-02 07:30:24,2022-02-01 18:00:24
158,1643787084000.0,0.0,2022-02-02 07:31:24,2022-02-01 18:01:24
159,1643787144000.0,0.0,2022-02-02 07:32:24,2022-02-01 18:02:24
160,1643787204000.0,0.0,2022-02-02 07:33:24,2022-02-01 18:03:24
161,1643787264000.0,0.0,2022-02-02 07:34:24,2022-02-01 18:04:24
162,1643787324000.0,0.0,2022-02-02 07:35:24,2022-02-01 18:05:24
163,1643787384000.0,0.0,2022-02-02 07:36:24,2022-02-01 18:06:24
164,1643787444000.0,0.0,2022-02-02 07:37:24,2022-02-01 18:07:24
165,1643787504000.0,0.0,2022-02-02 07:38:24,2022-02-01 18:08:24
166,1643787564000.0,0.0,2022-02-02 07:39:24,2022-02-01 18:09:24
167,1643787624000.0,0.0,2022-02-02 07:40:24,2022-02-01 18:10:24
168,1643787684000.0,0.0,2022-02-02 07:41:24,2022-02-01 18:11:24
169,1643787744000.0,0.0,2022-02-02 07:42:24,2022-02-01 18:12:24
170,1643787804000.0,0.0,2022-02-02 07:43:24,2022-02-01 18:13:24
171,1643787864000.0,0.0,2022-02-02 07:44:24,2022-02-01 18:14:24
172,1643787924000.0,0.0,2022-02-02 07:45:24,2022-02-01 18:15:24
173,1643787984000.0,0.0,2022-02-02 07:46:24,2022-02-01 18:16:24
174,1643788044000.0,0.0,2022-02-02 07:47:24,2022-02-01 18:17:24
175,1643788104000.0,0.0,2022-02-02 07:48:24,2022-02-01 18:18:24
176,1643788164000.0,0.0,2022-02-02 07:49:24,2022-02-01 18:19:24
177,1643788224000.0,0.0,2022-02-02 07:50:24,2022-02-01 18:20:24
178,1643788284000.0,0.0,2022-02-02 07:51:24,2022-02-01 18:21:24
